Report,1995,2000,2001,2002,2003,1995p,2000p,2001p,2002p,2003p
All commodities,"11, 964",28757,34417,39690,49993,100,100,100,100,100
Foodstuffs,7546.5,14930,17337,19068,22806,63.1,51.9,50.4,48,45.6
Meat and products,1198,1788,2114,2253,2735,10,6.2,6.1,5.6,5.5
Meat (including poultry),420.6,659.6,862.4,960.8,1148,3.5,2.3,2.5,2.4,2.3
Sausages,728.8,1073,1184,1209,1474,6.1,3.7,3.4,3,3
Meat cans,48.6,55.2,67.8,83,112,0.4,0.2,0.2,0.2,0.2
Fish and sea food,244.6,453.3,556.6,640,813,2.1,1.5,1.6,1.6,1.6
fish,126.4,236.6,296.3,360,469,1.1,0.8,0.9,0.9,0.9
herring,58,97.3,111.1,108,138,0.5,0.3,0.3,0.3,0.3
Fish cans,60.2,119.4,149.2,171,205,0.5,0.4,0.4,0.4,0.4
Vegetable and fruit cans,118.8,160.9,205.7,270,368,1,0.6,0.6,0.7,0.7
fats,477.9,543.3,644.3,706,809,4,1.9,1.9,1.8,1.6
butter,293.7,242,258.5,262,281,2.4,0.8,0.8,0.7,0.6
oil,70.2,114.2,148.8,168,215,0.6,0.4,0.4,0.4,0.4
Other fats,114,187.1,237,275,311,1,0.7,0.7,0.7,0.6
Milk and dairy,352.9,626.6,745.1,857,1044,2.9,2.2,2.2,2.2,2.1
Cheese and brinsen,116.5,187.8,240.5,285,403,1,0.7,0.7,0.7,0.8
eggs,136.5,231.7,289.8,338,369,1.1,0.8,0.9,0.9,0.7
sugar,261.9,253.9,251.2,279,315,2.2,0.9,0.7,0.7,0.6
confectionery,561.1,1231,1444,1622,1797,4.7,4.3,4.2,4.1,3.6
tea,35.9,100.3,113.4,142,185,0.3,0.3,0.3,0.3,0.4
coffee,24.4,129.1,165.4,221,308,0.2,0.4,0.5,0.5,0.6
salt,20,28.5,27.6,27,31,0.2,0.1,0.1,0.1,0.1
Bread and bakery,1330.2,1898,1769,1457,1466,11.1,6.6,5.2,3.7,2.9
"Flour, cereals, and pasta",357,587.6,532.8,529,686,3,2,1.5,1.3,1.4
flour,118.7,257.1,217.1,198,257,1,0.9,0.6,0.5,0.5
Cereals and beans,122.5,180.7,173.7,191,241,1,0.6,0.5,0.5,0.5
pasta,115.8,149.8,142,140,187,1,0.5,0.4,0.3,0.4
potato,71.2,72.4,80.8,109,152,0.6,0.3,0.2,0.3,0.3
vegetables,174.4,166.3,185.6,220,286,1.5,0.6,0.5,0.5,0.6
"Fruits, berries, and melons",104.7,143.2,166.7,191.9,302,0.9,0.5,0.5,0.5,0.6
Tobacco articles,111.6,1111,1501,1851,2457,0.9,3.9,4.4,4.7,4.9
Other foodstuffs,1595,4613,5515,6145,7256,13.3,16,16,15.5,14.6
